Year,Month,Day,type,Country,home_team,away_team,home_goals,away_goals
2002,1,4,PMC-1,Bahrain,Bahrain,Finland,0,2
2002,1,5,PMC-1,Bahrain,Albania,Macedonia,0,0
2002,1,7,PMC-1,Bahrain,Albania,Finland,1,1
2002,1,7,PMC-1,Bahrain,Bahrain,Macedonia,1,1
2002,1,8,Friendly,Oman,Kuwait,Iceland,0,0
2002,1,10,PMC-1,Bahrain,Bahrain,Albania,3,0
2002,1,10,Friendly,Saudi Arabia,Saudi Arabia,Iceland,1,0
2002,1,10,PMC-1,Bahrain,Finland,Macedonia,3,0
2002,2,6,Friendly,Iran,Iran,Slovakia,2,3
2002,2,9,MIT-9,Malta,Malta,Jordan,2,1
2002,2,9,MIT-9,Malta,Lithuania,Moldova,1,0
2002,2,10,Friendly,Cyprus,Poland,Faroe Islands,2,1
2002,2,11,MIT-9,Malta,Moldova,Jordan,2,0
2002,2,11,MIT-9,Malta,Malta,Lithuania,1,1
2002,2,12,Friendly,Netherlands,Turkey,Eсuador,0,1
2002,2,12,CIT-6,Cyprus,Czech Republic,Hungary,2,0
2002,2,12,CLC-16,Hong Kong,Honduras,Slovenia,5,1
2002,2,12,CIT-6,Cyprus,Cyprus,Switzerland,1,1
2002,2,13,Friendly,Luxembourg,Luxembourg,Albania,0,0
2002,2,13,Friendly,Wales,Wales,Argentina,1,1
2002,2,13,Friendly,Croatia,Croatia,Bulgaria,0,0
2002,2,13,CIT-6,Cyprus,Cyprus,Czech Republic,3,4
2002,2,13,Friendly,Saudi Arabia,Saudi Arabia,Denmark,0,1
2002,2,13,Friendly,Netherlands,Netherlands,England,1,1
2002,2,13,Friendly,Cyprus,Liechtenstein,Faroe Islands,0,1
2002,2,13,Friendly,Germany,Germany,Israel,7,1
2002,2,13,MIT-9,Malta,Lithuania,Jordan,0,3
2002,2,13,MIT-9,Malta,Malta,Moldova,3,0
2002,2,13,Friendly,Belgium,Belgium,Norway,1,0
2002,2,13,Friendly,Cyprus,North. Ireland,Poland,1,4
2002,2,13,Friendly,Spain,Spain,Portugal,1,1
2002,2,13,Friendly,France,France,Romania,2,1
2002,2,13,Friendly,Ireland,Ireland,Russia,2,0
2002,2,13,Friendly,Greece,Greece,Sweden,2,2
2002,2,13,CIT-6,Cyprus,Hungary,Switzerland,1,2
2002,2,13,Friendly,Italy,Italy,United States,1,0
2002,2,13,Friendly,United States,Mexico,Yugoslavia,1,2
2002,2,15,CLC-16,Hong Kong,China,Slovenia,0,0
2002,2,20,Friendly,Bulgaria,Bulgaria,Azerbaijan,3,0
2002,3,7,Friendly,Brazil,Brazil,Iceland,6,1
2002,3,13,Friendly,United States,Mexico,Albania,4,0
2002,3,14,Friendly,Italy,Estonia,Saudi Arabia,2,0
